"UF","id","Name","Ps","Pi","Pr","Pt","Lon","Lat"
"AM","1300839","Caapiranga","12622","0","0","12622","-61.209","-3.328"
"AM","1300904","Canutama","15312","0","0","15312","-64.383","-6.534"
"AM","1301001","Carauari","28111","0","0","28111","-66.896","-4.883"
"AM","1301100","Careiro","36921","1","0","36922","-60.369","-3.768"
"AM","1301159","Careiro da Várzea","28590","2","0","28592","-59.826","-3.221"
"AM","1301209","Coari","83929","0","0","83929","-63.141","-4.085"
"AM","1301308","Codajás","27303","0","0","27303","-62.057","-3.837"
"AM","1301407","Eirunepé","34461","0","0","34461","-69.874","-6.66"
"AM","1301506","Envira","19143","0","0","19143","-70.023","-7.433"
"AM","1301605","Fonte Boa","20199","0","0","20199","-66.092","-2.514"
"AM","1301654","Guajará","16085","0","0","16085","-72.584","-7.546"
"AM","1301704","Humaitá","52354","0","0","52354","-63.021","-7.506"
"AM","1301803","Ipixuna","27587","0","0","27587","-71.695","-7.051"
"AM","1301852","Iranduba","46689","14","0","46703","-60.186","-3.285"
"AM","1301902","Itacoatiara","98488","15","0","98503","-58.444","-3.143"
"AM","1301951","Itamarati","8153","0","0","8153","-68.253","-6.425"
"AM","1302009","Itapiranga","9040","0","0","9040","-58.022","-2.749"
"AM","1302108","Japurá","4660","0","0","4660","-66.599","-1.826"
"AM","1302207","Juruá","13581","0","0","13581","-66.069","-3.481"
"AM","1302306","Jutaí","16200","0","0","16200","-66.767","-2.747"
"AM","1302405","Lábrea","44071","0","0","44071","-64.798","-7.259"
"AM","1302504","Manacapuru","95238","92","0","95330","-60.621","-3.3"
"AM","1302553","Manaquiri","29327","0","0","29327","-60.459","-3.428"
"AM","1302603","Manaus","2093285","1106","0","2094391","-60.025","-3.102"
"AM","1302702","Manicoré","53889","1","0","53890","-61.3","-5.809"
"AM","1302801","Maraã","18477","0","0","18477","-65.581","-1.856"
"AM","1302900","Maués","61110","0","0","61110","-57.719","-3.384"
"AM","1303007","Nhamundá","20633","0","0","20633","-56.713","-2.186"
"AM","1303106","Nova Olinda do Norte","35800","0","0","35800","-59.094","-3.888"
